instance_id,size_class,n_stars,n_edges,difficulty_bucket,encoding,solver,solve_time,decisions,n_clauses,n_constraints,n_vars,nodes,satisfiable
stellarium_L_008,L,47,93,easy,sat,Cadical103,2.0416919142007828e-05,0.0,574.0,,,,True
stellarium_L_008,L,47,93,easy,smt,Z3,0.0007321250159293413,,,58.0,,,True
stellarium_L_008,L,47,93,easy,ip,Gurobi,8.14169179648161e-05,,,47.0,93.0,0.0,True
stellarium_L_009,L,47,99,hard,sat,Cadical103,5.445815622806549e-05,10.0,639.0,,,,True
stellarium_L_009,L,47,99,hard,smt,Z3,0.0012385840527713299,,,77.0,,,True
stellarium_L_009,L,47,99,hard,ip,Gurobi,0.000340042170137167,,,47.0,99.0,0.0,True
stellarium_L_010,L,53,115,easy,sat,Cadical103,2.5999965146183968e-05,0.0,736.0,,,,True
stellarium_L_010,L,53,115,easy,smt,Z3,0.0011835419572889805,,,78.0,,,True
stellarium_L_010,L,53,115,easy,ip,Gurobi,0.00026483391411602497,,,53.0,115.0,0.0,True
stellarium_L_011,L,49,112,hard,sat,Cadical103,8.654198609292507e-05,30.0,708.0,,,,True
stellarium_L_011,L,49,112,hard,smt,Z3,0.0013034169096499681,,,80.0,,,True
stellarium_L_011,L,49,112,hard,ip,Gurobi,0.00014329096302390099,,,49.0,112.0,0.0,True
stellarium_L_012,L,54,107,easy,sat,Cadical103,2.3999949917197227e-05,0.0,701.0,,,,True
stellarium_L_012,L,54,107,easy,smt,Z3,0.0013887910172343254,,,74.0,,,True
stellarium_L_012,L,54,107,easy,ip,Gurobi,0.0002861658576875925,,,54.0,107.0,0.0,True
stellarium_L_013,L,54,122,easy,sat,Cadical103,2.7458881959319115e-05,0.0,818.0,,,,True
stellarium_L_013,L,54,122,easy,smt,Z3,0.0011264579370617867,,,96.0,,,True
stellarium_L_013,L,54,122,easy,ip,Gurobi,0.00014695781283080578,,,54.0,122.0,0.0,True
stellarium_L_014,L,50,103,easy,sat,Cadical103,2.258317545056343e-05,0.0,676.0,,,,True
stellarium_L_014,L,50,103,easy,smt,Z3,0.0011257501319050789,,,71.0,,,True
stellarium_L_014,L,50,103,easy,ip,Gurobi,5.479087121784687e-05,,,50.0,103.0,0.0,True
stellarium_L_015,L,47,95,easy,sat,Cadical103,2.787495031952858e-05,0.0,641.0,,,,True
stellarium_L_015,L,47,95,easy,smt,Z3,0.0014156659599393606,,,57.0,,,True
stellarium_L_015,L,47,95,easy,ip,Gurobi,0.0003672081511467695,,,47.0,95.0,0.0,True
stellarium_L_016,L,52,101,easy,sat,Cadical103,2.291705459356308e-05,0.0,622.0,,,,True
stellarium_L_016,L,52,101,easy,smt,Z3,0.0009380001574754715,,,73.0,,,True
stellarium_L_016,L,52,101,easy,ip,Gurobi,0.00014433288015425205,,,52.0,101.0,0.0,True
stellarium_L_017,L,45,87,easy,sat,Cadical103,2.1582935005426407e-05,0.0,529.0,,,,True
stellarium_L_017,L,45,87,easy,smt,Z3,0.001043250085785985,,,62.0,,,True
stellarium_L_017,L,45,87,easy,ip,Gurobi,0.00011950009502470493,,,45.0,87.0,0.0,True
stellarium_L_018,L,46,87,easy,sat,Cadical103,2.1584099158644676e-05,0.0,575.0,,,,True
stellarium_L_018,L,46,87,easy,smt,Z3,0.0012613330036401749,,,57.0,,,True
stellarium_L_018,L,46,87,easy,ip,Gurobi,9.77921299636364e-05,,,46.0,87.0,0.0,True
stellarium_L_019,L,55,107,easy,sat,Cadical103,2.645794302225113e-05,0.0,744.0,,,,True
stellarium_L_019,L,55,107,easy,smt,Z3,0.0012728329747915268,,,66.0,,,True
stellarium_L_019,L,55,107,easy,ip,Gurobi,0.0002808331046253443,,,55.0,107.0,0.0,True
stellarium_M_000,M,28,58,easy,sat,Cadical103,1.4375196769833565e-05,0.0,380.0,,,,True
stellarium_M_000,M,28,58,easy,smt,Z3,0.00046208291314542294,,,43.0,,,True
stellarium_M_000,M,28,58,easy,ip,Gurobi,6.737490184605122e-05,,,28.0,58.0,0.0,True
stellarium_M_001,M,26,55,easy,sat,Cadical103,9.040813893079758e-06,0.0,279.0,,,,True
stellarium_M_001,M,26,55,easy,smt,Z3,0.00036670896224677563,,,45.0,,,True
stellarium_M_001,M,26,55,easy,ip,Gurobi,5.024997517466545e-05,,,26.0,55.0,0.0,True
stellarium_M_002,M,29,70,easy,sat,Cadical103,1.6291160136461258e-05,0.0,489.0,,,,True
stellarium_M_002,M,29,70,easy,smt,Z3,0.0005003330297768116,,,57.0,,,True
stellarium_M_002,M,29,70,easy,ip,Gurobi,7.741688750684261e-05,,,29.0,70.0,0.0,True
stellarium_M_003,M,35,69,easy,sat,Cadical103,1.5791039913892746e-05,0.0,461.0,,,,True
stellarium_M_003,M,35,69,easy,smt,Z3,0.0010134580079466105,,,50.0,,,True
stellarium_M_003,M,35,69,easy,ip,Gurobi,7.470883429050446e-05,,,35.0,69.0,0.0,True
stellarium_M_004,M,30,58,easy,sat,Cadical103,1.4499993994832039e-05,0.0,377.0,,,,True
stellarium_M_004,M,30,58,easy,smt,Z3,0.00046841707080602646,,,39.0,,,True
stellarium_M_004,M,30,58,easy,ip,Gurobi,7.30419997125864e-05,,,30.0,58.0,0.0,True
stellarium_M_005,M,30,52,easy,sat,Cadical103,1.1333031579852104e-05,0.0,312.0,,,,True
stellarium_M_005,M,30,52,easy,smt,Z3,0.0007583340629935265,,,36.0,,,True
stellarium_M_005,M,30,52,easy,ip,Gurobi,3.437511622905731e-05,,,30.0,52.0,0.0,True
stellarium_M_006,M,28,47,easy,sat,Cadical103,1.0791933164000511e-05,0.0,270.0,,,,True
stellarium_M_006,M,28,47,easy,smt,Z3,0.0004892500583082438,,,28.0,,,True
stellarium_M_006,M,28,47,easy,ip,Gurobi,0.00024249986745417118,,,28.0,47.0,0.0,True
stellarium_M_007,M,29,52,easy,sat,Cadical103,1.3791024684906006e-05,0.0,320.0,,,,True
stellarium_M_007,M,29,52,easy,smt,Z3,0.00045891711488366127,,,34.0,,,True
stellarium_M_007,M,29,52,easy,ip,Gurobi,0.0001085831318050623,,,29.0,52.0,0.0,True
stellarium_M_008,M,35,68,easy,sat,Cadical103,1.7165904864668846e-05,0.0,433.0,,,,True
stellarium_M_008,M,35,68,easy,smt,Z3,0.0009879160206764936,,,51.0,,,True
stellarium_M_008,M,35,68,easy,ip,Gurobi,0.000293124932795763,,,35.0,68.0,0.0,True
stellarium_M_009,M,26,45,easy,sat,Cadical103,1.1999858543276787e-05,0.0,298.0,,,,True
stellarium_M_009,M,26,45,easy,smt,Z3,0.00041304202750325203,,,26.0,,,True
stellarium_M_009,M,26,45,easy,ip,Gurobi,8.237501606345177e-05,,,26.0,45.0,0.0,True
stellarium_M_010,M,35,74,easy,sat,Cadical103,1.737498678267002e-05,0.0,473.0,,,,True
stellarium_M_010,M,35,74,easy,smt,Z3,0.0006872920785099268,,,49.0,,,True
stellarium_M_010,M,35,74,easy,ip,Gurobi,8.150003850460052e-05,,,35.0,74.0,0.0,True
stellarium_M_011,M,33,61,easy,sat,Cadical103,1.2709060683846474e-05,0.0,402.0,,,,True
stellarium_M_011,M,33,61,easy,smt,Z3,0.000400167191401124,,,38.0,,,True
stellarium_M_011,M,33,61,easy,ip,Gurobi,6.491690874099731e-05,,,33.0,61.0,0.0,True
stellarium_M_012,M,28,62,easy,sat,Cadical103,1.00000761449337e-05,0.0,344.0,,,,True
stellarium_M_012,M,28,62,easy,smt,Z3,0.0005805830005556345,,,55.0,,,True
stellarium_M_012,M,28,62,easy,ip,Gurobi,0.0001038750633597374,,,28.0,62.0,0.0,True
stellarium_M_013,M,32,65,easy,sat,Cadical103,1.9584083929657936e-05,0.0,464.0,,,,True
stellarium_M_013,M,32,65,easy,smt,Z3,0.0006288751028478146,,,39.0,,,True
stellarium_M_013,M,32,65,easy,ip,Gurobi,0.00010020798072218895,,,32.0,65.0,0.0,True
stellarium_M_014,M,29,66,easy,sat,Cadical103,1.5833182260394096e-05,0.0,417.0,,,,True
stellarium_M_014,M,29,66,easy,smt,Z3,0.0004657090175896883,,,48.0,,,True
stellarium_M_014,M,29,66,easy,ip,Gurobi,3.116694279015064e-05,,,29.0,66.0,0.0,True
stellarium_M_015,M,35,62,easy,sat,Cadical103,2.00001522898674e-05,0.0,410.0,,,,True
stellarium_M_015,M,35,62,easy,smt,Z3,0.0009419580455869436,,,43.0,,,True
stellarium_M_015,M,35,62,easy,ip,Gurobi,5.7042110711336136e-05,,,35.0,62.0,0.0,True
stellarium_M_016,M,33,70,easy,sat,Cadical103,1.6625039279460907e-05,0.0,426.0,,,,True
stellarium_M_016,M,33,70,easy,smt,Z3,0.0005670420359820127,,,47.0,,,True
stellarium_M_016,M,33,70,easy,ip,Gurobi,7.812492549419403e-05,,,33.0,70.0,0.0,True
stellarium_M_017,M,35,68,easy,sat,Cadical103,1.5791039913892746e-05,0.0,434.0,,,,True
stellarium_M_017,M,35,68,easy,smt,Z3,0.0007206250447779894,,,41.0,,,True
stellarium_M_017,M,35,68,easy,ip,Gurobi,5.7374825701117516e-05,,,35.0,68.0,0.0,True
stellarium_M_018,M,25,45,easy,sat,Cadical103,9.124865755438805e-06,0.0,245.0,,,,True
stellarium_M_018,M,25,45,easy,smt,Z3,0.000615500146523118,,,28.0,,,True
stellarium_M_018,M,25,45,easy,ip,Gurobi,6.066705100238323e-05,,,25.0,45.0,0.0,True
stellarium_M_019,M,25,44,easy,sat,Cadical103,9.541865438222885e-06,0.0,255.0,,,,True
stellarium_M_019,M,25,44,easy,smt,Z3,0.00031529110856354237,,,29.0,,,True
stellarium_M_019,M,25,44,easy,ip,Gurobi,3.779097460210323e-05,,,25.0,44.0,0.0,True
stellarium_S_000,S,18,36,easy,sat,Cadical103,8.708098903298378e-06,0.0,242.0,,,,True
stellarium_S_000,S,18,36,easy,smt,Z3,0.0002801672089844942,,,30.0,,,True
stellarium_S_000,S,18,36,easy,ip,Gurobi,2.7625123038887978e-05,,,18.0,36.0,0.0,True
stellarium_S_001,S,17,29,easy,sat,Cadical103,6.00004568696022e-06,0.0,160.0,,,,True
stellarium_S_001,S,17,29,easy,smt,Z3,0.0002743750810623169,,,19.0,,,True
stellarium_S_001,S,17,29,easy,ip,Gurobi,2.437504008412361e-05,,,17.0,29.0,0.0,True
stellarium_S_002,S,16,27,easy,sat,Cadical103,5.249865353107452e-06,0.0,133.0,,,,True
stellarium_S_002,S,16,27,easy,smt,Z3,0.00023216614499688148,,,22.0,,,True
stellarium_S_002,S,16,27,easy,ip,Gurobi,2.787495031952858e-05,,,16.0,27.0,0.0,True
stellarium_S_003,S,17,29,easy,sat,Cadical103,6.583984941244125e-06,0.0,182.0,,,,True
stellarium_S_003,S,17,29,easy,smt,Z3,0.00024920818395912647,,,17.0,,,True
stellarium_S_003,S,17,29,easy,ip,Gurobi,2.2541964426636696e-05,,,17.0,29.0,0.0,True
stellarium_S_004,S,15,27,easy,sat,Cadical103,5.665933713316917e-06,0.0,143.0,,,,True
stellarium_S_004,S,15,27,easy,smt,Z3,0.0003161670174449682,,,21.0,,,True
stellarium_S_004,S,15,27,easy,ip,Gurobi,5.366699770092964e-05,,,15.0,27.0,0.0,True
stellarium_S_005,S,15,30,easy,sat,Cadical103,8.834060281515121e-06,0.0,198.0,,,,True
stellarium_S_005,S,15,30,easy,smt,Z3,0.00029379199258983135,,,20.0,,,True
stellarium_S_005,S,15,30,easy,ip,Gurobi,6.141699850559235e-05,,,15.0,30.0,0.0,True
stellarium_S_006,S,17,35,easy,sat,Cadical103,8.790986612439156e-06,0.0,221.0,,,,True
stellarium_S_006,S,17,35,easy,smt,Z3,0.00025258283130824566,,,26.0,,,True
stellarium_S_006,S,17,35,easy,ip,Gurobi,3.1708041206002235e-05,,,17.0,35.0,0.0,True
stellarium_S_007,S,17,30,easy,sat,Cadical103,7.166992872953415e-06,0.0,196.0,,,,True
stellarium_S_007,S,17,30,easy,smt,Z3,0.00025749998167157173,,,20.0,,,True
stellarium_S_007,S,17,30,easy,ip,Gurobi,3.0166935175657272e-05,,,17.0,30.0,0.0,True
stellarium_S_008,S,15,22,easy,sat,Cadical103,4.9578957259655e-06,0.0,104.0,,,,True
stellarium_S_008,S,15,22,easy,smt,Z3,0.0005311670247465372,,,15.0,,,True
stellarium_S_008,S,15,22,easy,ip,Gurobi,3.0166935175657272e-05,,,15.0,22.0,0.0,True
stellarium_S_009,S,18,30,easy,sat,Cadical103,7.791910320520401e-06,0.0,167.0,,,,True
stellarium_S_009,S,18,30,easy,smt,Z3,0.00039900001138448715,,,18.0,,,True
stellarium_S_009,S,18,30,easy,ip,Gurobi,5.108281038701534e-05,,,18.0,30.0,0.0,True
stellarium_S_010,S,15,25,easy,sat,Cadical103,7.375143468379974e-06,0.0,141.0,,,,True
stellarium_S_010,S,15,25,easy,smt,Z3,0.00024274992756545544,,,15.0,,,True
stellarium_S_010,S,15,25,easy,ip,Gurobi,6.950017996132374e-05,,,15.0,25.0,0.0,True
stellarium_S_011,S,18,33,easy,sat,Cadical103,5.292007699608803e-06,0.0,172.0,,,,True
stellarium_S_011,S,18,33,easy,smt,Z3,0.00024912506341934204,,,28.0,,,True
stellarium_S_011,S,18,33,easy,ip,Gurobi,2.5916844606399536e-05,,,18.0,33.0,0.0,True
stellarium_S_012,S,19,38,easy,sat,Cadical103,8.874805644154549e-06,0.0,252.0,,,,True
stellarium_S_012,S,19,38,easy,smt,Z3,0.0002777501940727234,,,23.0,,,True
stellarium_S_012,S,19,38,easy,ip,Gurobi,5.3541967645287514e-05,,,19.0,38.0,0.0,True
stellarium_S_013,S,20,35,easy,sat,Cadical103,9.00006853044033e-06,0.0,224.0,,,,True
stellarium_S_013,S,20,35,easy,smt,Z3,0.0006410421337932348,,,24.0,,,True
stellarium_S_013,S,20,35,easy,ip,Gurobi,4.654191434383392e-05,,,20.0,35.0,0.0,True
stellarium_S_014,S,17,30,easy,sat,Cadical103,6.708083674311638e-06,0.0,173.0,,,,True
stellarium_S_014,S,17,30,easy,smt,Z3,0.0002686248626559973,,,23.0,,,True
stellarium_S_014,S,17,30,easy,ip,Gurobi,3.741704858839512e-05,,,17.0,30.0,0.0,True
stellarium_S_015,S,16,26,easy,sat,Cadical103,5.749985575675964e-06,0.0,153.0,,,,True
stellarium_S_015,S,16,26,easy,smt,Z3,0.00024758302606642246,,,16.0,,,True
stellarium_S_015,S,16,26,easy,ip,Gurobi,3.0374852940440178e-05,,,16.0,26.0,0.0,True
stellarium_S_016,S,15,26,easy,sat,Cadical103,5.291076377034187e-06,0.0,149.0,,,,True
stellarium_S_016,S,15,26,easy,smt,Z3,0.00021620793268084526,,,19.0,,,True
stellarium_S_016,S,15,26,easy,ip,Gurobi,2.1374784409999847e-05,,,15.0,26.0,0.0,True
stellarium_S_017,S,20,39,easy,sat,Cadical103,7.292022928595543e-06,0.0,215.0,,,,True
stellarium_S_017,S,20,39,easy,smt,Z3,0.00035833287984132767,,,31.0,,,True
stellarium_S_017,S,20,39,easy,ip,Gurobi,3.7499936297535896e-05,,,20.0,39.0,0.0,True
stellarium_S_018,S,17,29,easy,sat,Cadical103,6.9160014390945435e-06,0.0,185.0,,,,True
stellarium_S_018,S,17,29,easy,smt,Z3,0.0003468750510364771,,,17.0,,,True
stellarium_S_018,S,17,29,easy,ip,Gurobi,3.733392804861069e-05,,,17.0,29.0,0.0,True
stellarium_S_019,S,15,31,easy,sat,Cadical103,6.4999330788850784e-06,0.0,205.0,,,,True
stellarium_S_019,S,15,31,easy,smt,Z3,0.00026954105123877525,,,25.0,,,True
stellarium_S_019,S,15,31,easy,ip,Gurobi,4.641595296561718e-05,,,15.0,31.0,0.0,True
stellarium_XL_000,XL,80,138,easy,sat,Cadical103,2.6374822482466698e-05,0.0,867.0,,,,True
stellarium_XL_000,XL,80,138,easy,smt,Z3,0.0016240840777754784,,,85.0,,,True
stellarium_XL_000,XL,80,138,easy,ip,Gurobi,0.0002925409935414791,,,80.0,138.0,0.0,True
stellarium_XL_001,XL,79,174,easy,sat,Cadical103,3.491714596748352e-05,0.0,1118.0,,,,True
stellarium_XL_001,XL,79,174,easy,smt,Z3,0.0020988748874515295,,,116.0,,,True
stellarium_XL_001,XL,79,174,easy,ip,Gurobi,0.00037266616709530354,,,79.0,174.0,0.0,True
stellarium_XL_002,XL,76,141,easy,sat,Cadical103,3.766617737710476e-05,0.0,947.0,,,,True
stellarium_XL_002,XL,76,141,easy,smt,Z3,0.00146566703915596,,,76.0,,,True
stellarium_XL_002,XL,76,141,easy,ip,Gurobi,0.00030129216611385345,,,76.0,141.0,0.0,True
stellarium_XL_003,XL,79,159,easy,sat,Cadical103,3.700004890561104e-05,0.0,1032.0,,,,True
stellarium_XL_003,XL,79,159,easy,smt,Z3,0.0015842500142753124,,,106.0,,,True
stellarium_XL_003,XL,79,159,easy,ip,Gurobi,0.0003777090460062027,,,79.0,159.0,0.0,True
stellarium_XL_004,XL,77,156,easy,sat,Cadical103,4.4665997847914696e-05,0.0,1075.0,,,,True
stellarium_XL_004,XL,77,156,easy,smt,Z3,0.0017408749554306269,,,93.0,,,True
stellarium_XL_004,XL,77,156,easy,ip,Gurobi,0.00033062510192394257,,,77.0,156.0,0.0,True
stellarium_XL_005,XL,74,142,easy,sat,Cadical103,3.587501123547554e-05,0.0,920.0,,,,True
stellarium_XL_005,XL,74,142,easy,smt,Z3,0.0015040419530123472,,,93.0,,,True
stellarium_XL_005,XL,74,142,easy,ip,Gurobi,0.00014233402907848358,,,74.0,142.0,0.0,True
stellarium_XL_006,XL,78,167,easy,sat,Cadical103,3.945804201066494e-05,0.0,1128.0,,,,True
stellarium_XL_006,XL,78,167,easy,smt,Z3,0.00209666695445776,,,111.0,,,True
stellarium_XL_006,XL,78,167,easy,ip,Gurobi,0.00039995904080569744,,,78.0,167.0,0.0,True
stellarium_XL_007,XL,70,137,easy,sat,Cadical103,3.574998117983341e-05,0.0,924.0,,,,True
stellarium_XL_007,XL,70,137,easy,smt,Z3,0.001580666983500123,,,86.0,,,True
stellarium_XL_007,XL,70,137,easy,ip,Gurobi,0.0001527089625597,,,70.0,137.0,0.0,True
stellarium_XL_008,XL,71,146,easy,sat,Cadical103,3.38749960064888e-05,0.0,932.0,,,,True
stellarium_XL_008,XL,71,146,easy,smt,Z3,0.0016147089190781116,,,105.0,,,True
stellarium_XL_008,XL,71,146,easy,ip,Gurobi,0.0001302498858422041,,,71.0,146.0,0.0,True
stellarium_XL_009,XL,78,172,hard,sat,Cadical103,7.558288052678108e-05,13.0,1113.0,,,,True
stellarium_XL_009,XL,78,172,hard,smt,Z3,0.0019255001097917557,,,115.0,,,True
stellarium_XL_009,XL,78,172,hard,ip,Gurobi,0.00037325010634958744,,,78.0,172.0,0.0,True
stellarium_XL_010,XL,74,141,hard,sat,Cadical103,8.987495675683022e-05,23.0,941.0,,,,True
stellarium_XL_010,XL,74,141,hard,smt,Z3,0.0017144579906016588,,,88.0,,,True
stellarium_XL_010,XL,74,141,hard,ip,Gurobi,0.00033599999733269215,,,74.0,141.0,0.0,True
stellarium_XL_011,XL,80,177,hard,sat,Cadical103,4.7416891902685165e-05,6.0,1199.0,,,,True
stellarium_XL_011,XL,80,177,hard,smt,Z3,0.001826707972213626,,,125.0,,,True
stellarium_XL_011,XL,80,177,hard,ip,Gurobi,0.00037354184314608574,,,80.0,177.0,0.0,True
stellarium_XL_012,XL,71,134,easy,sat,Cadical103,4.1624996811151505e-05,0.0,896.0,,,,True
stellarium_XL_012,XL,71,134,easy,smt,Z3,0.00202562496997416,,,77.0,,,True
stellarium_XL_012,XL,71,134,easy,ip,Gurobi,0.00037858402356505394,,,71.0,134.0,0.0,True
stellarium_XL_013,XL,76,161,hard,sat,Cadical103,8.245790377259254e-05,16.0,1119.0,,,,True
stellarium_XL_013,XL,76,161,hard,smt,Z3,0.0018063331954181194,,,101.0,,,True
stellarium_XL_013,XL,76,161,hard,ip,Gurobi,0.0003862918820232153,,,76.0,161.0,0.0,True
stellarium_XL_014,XL,77,146,hard,sat,Cadical103,6.237509660422802e-05,11.0,928.0,,,,True
stellarium_XL_014,XL,77,146,hard,smt,Z3,0.00170729192905128,,,90.0,,,True
stellarium_XL_014,XL,77,146,hard,ip,Gurobi,0.00034374999813735485,,,77.0,146.0,0.0,True
stellarium_XL_015,XL,74,158,easy,sat,Cadical103,3.379187546670437e-05,0.0,1041.0,,,,True
stellarium_XL_015,XL,74,158,easy,smt,Z3,0.0017938748933374882,,,113.0,,,True
stellarium_XL_015,XL,74,158,easy,ip,Gurobi,0.0003803749568760395,,,74.0,158.0,0.0,True
stellarium_XL_016,XL,78,144,hard,sat,Cadical103,0.00010795891284942627,33.0,936.0,,,,True
stellarium_XL_016,XL,78,144,hard,smt,Z3,0.0015361669939011335,,,91.0,,,True
stellarium_XL_016,XL,78,144,hard,ip,Gurobi,0.00030075013637542725,,,78.0,144.0,0.0,True
stellarium_XL_017,XL,72,147,easy,sat,Cadical103,3.2624928280711174e-05,0.0,1026.0,,,,True
stellarium_XL_017,XL,72,147,easy,smt,Z3,0.0010827910155057907,,,95.0,,,True
stellarium_XL_017,XL,72,147,easy,ip,Gurobi,8.266698569059372e-05,,,72.0,147.0,0.0,True
stellarium_XL_018,XL,71,155,easy,sat,Cadical103,3.241701051592827e-05,0.0,1057.0,,,,True
stellarium_XL_018,XL,71,155,easy,smt,Z3,0.0013881248887628317,,,112.0,,,True
stellarium_XL_018,XL,71,155,easy,ip,Gurobi,0.00011250004172325134,,,71.0,155.0,0.0,True
stellarium_XL_019,XL,80,168,easy,sat,Cadical103,4.2416853830218315e-05,0.0,1201.0,,,,True
stellarium_XL_019,XL,80,168,easy,smt,Z3,0.001398625085130334,,,111.0,,,True
stellarium_XL_019,XL,80,168,easy,ip,Gurobi,0.00034620892256498337,,,80.0,168.0,0.0,True
stellarium_XS_000,XS,10,14,easy,sat,Cadical103,4.207948222756386e-06,0.0,70.0,,,,True
stellarium_XS_000,XS,10,14,easy,smt,Z3,0.0001580000389367342,,,10.0,,,True
stellarium_XS_000,XS,10,14,easy,ip,Gurobi,2.13750172406435e-05,,,10.0,14.0,0.0,True
stellarium_XS_001,XS,8,12,easy,sat,Cadical103,3.5420525819063187e-06,0.0,61.0,,,,True
stellarium_XS_001,XS,8,12,easy,smt,Z3,0.00015466706827282906,,,10.0,,,True
stellarium_XS_001,XS,8,12,easy,ip,Gurobi,1.795915886759758e-05,,,8.0,12.0,0.0,True
stellarium_XS_002,XS,9,16,easy,sat,Cadical103,4.624947905540466e-06,0.0,91.0,,,,True
stellarium_XS_002,XS,9,16,easy,smt,Z3,0.00016641593538224697,,,14.0,,,True
stellarium_XS_002,XS,9,16,easy,ip,Gurobi,1.954217441380024e-05,,,9.0,16.0,0.0,True
stellarium_XS_003,XS,8,15,easy,sat,Cadical103,3.916909918189049e-06,0.0,72.0,,,,True
stellarium_XS_003,XS,8,15,easy,smt,Z3,0.00015791598707437515,,,11.0,,,True
stellarium_XS_003,XS,8,15,easy,ip,Gurobi,1.8083956092596054e-05,,,8.0,15.0,0.0,True
stellarium_XS_004,XS,10,15,easy,sat,Cadical103,3.3329706639051437e-06,0.0,78.0,,,,True
stellarium_XS_004,XS,10,15,easy,smt,Z3,0.00016333302482962608,,,10.0,,,True
stellarium_XS_004,XS,10,15,easy,ip,Gurobi,1.774984411895275e-05,,,10.0,15.0,0.0,True
stellarium_XS_005,XS,10,21,easy,sat,Cadical103,4.58303838968277e-06,0.0,113.0,,,,True
stellarium_XS_005,XS,10,21,easy,smt,Z3,0.000173250213265419,,,21.0,,,True
stellarium_XS_005,XS,10,21,easy,ip,Gurobi,1.7333077266812325e-05,,,10.0,21.0,0.0,True
stellarium_XS_006,XS,10,18,easy,sat,Cadical103,5.416804924607277e-06,0.0,117.0,,,,True
stellarium_XS_006,XS,10,18,easy,smt,Z3,0.0002051659394055605,,,12.0,,,True
stellarium_XS_006,XS,10,18,easy,ip,Gurobi,2.333405427634716e-05,,,10.0,18.0,0.0,True
stellarium_XS_007,XS,10,15,easy,sat,Cadical103,5.00003807246685e-06,0.0,85.0,,,,True
stellarium_XS_007,XS,10,15,easy,smt,Z3,0.0002149171195924282,,,10.0,,,True
stellarium_XS_007,XS,10,15,easy,ip,Gurobi,3.4041935577988625e-05,,,10.0,15.0,0.0,True
stellarium_XS_008,XS,8,14,easy,sat,Cadical103,4.249857738614082e-06,0.0,84.0,,,,True
stellarium_XS_008,XS,8,14,easy,smt,Z3,0.00015949993394315243,,,10.0,,,True
stellarium_XS_008,XS,8,14,easy,ip,Gurobi,2.1999934688210487e-05,,,8.0,14.0,0.0,True
stellarium_XS_009,XS,8,12,easy,sat,Cadical103,3.0410010367631912e-06,0.0,55.0,,,,True
stellarium_XS_009,XS,8,12,easy,smt,Z3,0.00014454196207225323,,,10.0,,,True
stellarium_XS_009,XS,8,12,easy,ip,Gurobi,1.9249971956014633e-05,,,8.0,12.0,0.0,True
stellarium_XS_010,XS,8,11,easy,sat,Cadical103,3.0838418751955032e-06,0.0,52.0,,,,True
stellarium_XS_010,XS,8,11,easy,smt,Z3,0.00015125004574656487,,,8.0,,,True
stellarium_XS_010,XS,8,11,easy,ip,Gurobi,2.545793540775776e-05,,,8.0,11.0,0.0,True
